abap|ABAP
actionscript|ActionScript
actionscript-french|ActionScript (French Doc Links)
ada|Ada
apache|Apache Log File
applescript|AppleScript
asm|ASM (NASM based)
asp|ASP
autoit|AutoIT
bash|Bash
blitzbasic|BlitzBasic
bnf|Backus-Naur form
c|C
c_mac|C for Macs
caddcl|CAD DCL
cadlisp|CAD Lisp
cfdg|CFDG
cfm|ColdFusion
cpp|C++
cpp-qt|C++/QT
csharp|C#
css|CSS
d|D
delphi|Delphi
diff|Diff
div|DIV
dos|DOS
dot|GraphViz
eiffel|Eiffel
fortran|Fortran
freebasic|FreeBasic
genero|Genero (4GL)
gml|GML
groovy|Groovy
haskell|Haskell
html4strict|HTML (4.0.1)
idl|Uno IDL
inno|Inno
io|IO
java|Java
java5|Java 5
javascript|Javascript
latex|LaTeX
lisp|Lisp
lua|Lua
matlab|Matlab
mirc|mIRC
mpasm|MPASM
mysql|MySQL
nsis|NullSoft Installer
objc|Objective C
ocaml|OCaml
ocaml-brief|OCaml (Brief)
oobas|Openoffice.org BASIC
oracle8|Oracle 8
pascal|Pascal
per|Per (4GL)
perl|Perl
php|PHP
php-brief|PHP (Brief version)
plsql|PL/SQL
python|Python
qbasic|QBasic/QuickBASIC
rails|Rails
reg|Windows Registry
robots|robots.txt
ruby|Ruby
sas|SAS
scheme|Scheme
sdlbasic|SDLBasic
smalltalk|Smalltalk
smarty|Smarty
sql|SQL
tcl|TCL
text|Plain text
thinbasic|thinBasic
tsql|T-SQL
vb|VisualBasic
vbnet|VB.NET
vhdl|VHDL
visualfoxpro|VisualFoxPro
winbatch|Winbatch
xml|XML
xpp|X++
z80|Z80 Assembler
