"Attribute is free","Attribute price letters","Attribute price letters free","Attribute price words","Attribute price words free","Attribute qty price","Attribute qty price onetime","Attribute required","Attribute weight","Attribute weight prefix","Default","Discounted","Display only","Download file name","Download max count","Download max days","Image","Option ID","Option: Name","Option value ID","Option value: Name","Option value price","Price base included","Price factor","Price factor offset","Price factor onetime","Price factor onetime offset","Price onetime","Price prefix","Product ID","Product: Name","Product attribute ID","Product option sort order"
"1","0.0000","0","0.0000","0","","","0","0","","0","1","0","","","","","1","Color","2","Black/Blue","0.0000","1","0.0000","0.0000","0.0000","0.0000","0.0000","","6","3/2MM ADVENTURE FULL","11529","0"
"1","0.0000","0","0.0000","0","","","0","0","","0","1","0","","","","","2","Size","6","4","0.0000","1","0.0000","0.0000","0.0000","0.0000","0.0000","","6","3/2MM ADVENTURE FULL","171","4"
"1","0.0000","0","0.0000","0","","","0","0","","0","1","0","","","","","2","Size","7","6","0.0000","1","0.0000","0.0000","0.0000","0.0000","0.0000","","6","3/2MM ADVENTURE FULL","172","6"
"1","0.0000","0","0.0000","0","","","0","0","","0","1","0","","","","","2","Size","8","8","0.0000","1","0.0000","0.0000","0.0000","0.0000","0.0000","","6","3/2MM ADVENTURE FULL","173","8"
"1","0.0000","0","0.0000","0","","","0","0","","0","1","0","","","","","2","Size","9","10","0.0000","1","0.0000","0.0000","0.0000","0.0000","0.0000","","6","3/2MM ADVENTURE FULL","174","10"
"1","0.0000","0","0.0000","0","","","0","0","","0","1","0","","","","","2","Size","10","12","0.0000","1","0.0000","0.0000","0.0000","0.0000","0.0000","","6","3/2MM ADVENTURE FULL","175","12"
"1","0.0000","0","0.0000","0","","","0","0","","0","1","0","","","","","2","Size","11","14","0.0000","1","0.0000","0.0000","0.0000","0.0000","0.0000","","6","3/2MM ADVENTURE FULL","176","14"
"1","0.0000","0","0.0000","0","","","0","0","","0","1","0","","","","","2","Size","12","16","0.0000","1","0.0000","0.0000","0.0000","0.0000","0.0000","","6","3/2MM ADVENTURE FULL","177","16"
"1","0.0000","0","0.0000","0","","","0","0","","0","1","0","","","","","1","Color","1","Black","0.0000","1","0.0000","0.0000","0.0000","0.0000","0.0000","","95","1MM METAL-LIGHT COATED NEOPRENE BEANIE","11546","0"
"1","0.0000","0","0.0000","0","","","0","0","","0","1","0","","","","","2","Size","22","S","0.0000","1","0.0000","0.0000","0.0000","0.0000","0.0000","","95","1MM METAL-LIGHT COATED NEOPRENE BEANIE","642","2"
